,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
190,Jungle,Tedua,18686,https://open.spotify.com/track/6s0Lif8DQwnVE6Wkb2BVqY
191,"Lost In Japan","Shawn Mendes",18676,https://open.spotify.com/track/7wvYmO5QscgIDDT0eNwbYX
192,Sensualidad,"Bad Bunny",18561,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
193,Flames,"David Guetta",18504,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
194,"Cucciolo d'uomo",Tedua,18490,https://open.spotify.com/track/4EoM5PCtJ5hfxyZa4zwui8
195,"She's On My Mind","JP Cooper",18485,https://open.spotify.com/track/1t0UbGPCjGpLeH7KiLBuBv
196,"Solo Guai","Carl Brave x Franco126",18453,https://open.spotify.com/track/5kf8d9DoYJbQmiaYjsPobn
197,Riccione,Thegiornalisti,18439,https://open.spotify.com/track/6RiprjTTheMrJ2ypJxz3H4
198,"Direzione la vita",Annalisa,18391,https://open.spotify.com/track/7wlMl0dTO6mdKYVt2xcr5w
199,"Jocelyn Flores",XXXTENTACION,18295,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
200,changes,XXXTENTACION,18249,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
